symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2022-08-12 04:00:00+00:00,167.73,170.05,167.31,169.98,75555239.0,555307.0,169.06
AAPL,2022-08-15 04:00:00+00:00,169.41,171.26,169.24,171.06,58741635.0,501627.0,170.53
AAPL,2022-08-16 04:00:00+00:00,170.65,171.57,169.55,170.9,60575237.0,515136.0,170.63
AAPL,2022-08-17 04:00:00+00:00,170.64,173.98,170.45,172.4,84217231.0,686579.0,172.17
AAPL,2022-08-18 04:00:00+00:00,171.61,172.75,170.99,172.01,66756106.0,545657.0,171.99
AAPL,2022-08-19 04:00:00+00:00,170.9,171.6,169.2,169.41,79638699.0,570365.0,170.1
AAPL,2022-08-22 04:00:00+00:00,167.6,167.77,165.08,165.51,76355924.0,620803.0,166.16
AAPL,2022-08-23 04:00:00+00:00,165.02,166.63,164.6,165.17,58090092.0,494688.0,165.53
AAPL,2022-08-24 04:00:00+00:00,165.26,166.04,164.2,165.47,58542963.0,476972.0,165.27
AAPL,2022-08-25 04:00:00+00:00,166.7,168.05,166.28,167.94,56573006.0,465400.0,167.32
AAPL,2022-08-26 04:00:00+00:00,168.47,168.94,161.55,161.61,90147274.0,717946.0,163.69
AAPL,2022-08-29 04:00:00+00:00,159.16,160.89,157.85,159.39,78255530.0,640595.0,159.53
AAPL,2022-08-30 04:00:00+00:00,160.13,160.56,155.78,156.95,82758508.0,644674.0,157.33
AAPL,2022-08-31 04:00:00+00:00,158.33,158.6,155.21,155.28,104165447.0,606829.0,156.28
AAPL,2022-09-01 04:00:00+00:00,154.71,156.47,152.77,156.02,79346064.0,654669.0,154.68
AAPL,2022-09-02 04:00:00+00:00,157.78,158.39,153.06,153.89,83452944.0,644431.0,155.61
AAPL,2022-09-06 04:00:00+00:00,154.54,155.16,151.8,152.63,78705759.0,687438.0,153.09
AAPL,2022-09-07 04:00:00+00:00,152.92,154.74,151.72,154.04,94015457.0,696957.0,153.43
AAPL,2022-09-08 04:00:00+00:00,152.74,154.44,150.8,152.56,91449721.0,697267.0,152.5
AAPL,2022-09-09 04:00:00+00:00,153.56,155.88,152.85,155.43,74228109.0,531339.0,154.78
AAPL,2022-09-12 04:00:00+00:00,157.63,162.24,157.34,161.42,112676884.0,801514.0,160.52
AAPL,2022-09-13 04:00:00+00:00,157.93,158.56,151.48,151.95,135428401.0,1018113.0,154.05
AAPL,2022-09-14 04:00:00+00:00,152.88,155.17,151.72,153.4,95004894.0,716068.0,153.35
AAPL,2022-09-15 04:00:00+00:00,152.75,153.33,149.52,150.49,97514431.0,741145.0,151.09
AAPL,2022-09-16 04:00:00+00:00,149.35,149.49,146.54,148.85,218997344.0,848159.0,148.54
AAPL,2022-09-19 04:00:00+00:00,147.47,152.66,147.26,152.58,87533890.0,671958.0,150.77
AAPL,2022-09-20 04:00:00+00:00,151.51,156.13,151.2,154.97,113203270.0,792173.0,154.23
AAPL,2022-09-21 04:00:00+00:00,155.4,156.79,151.71,151.83,107498655.0,785026.0,154.25
AAPL,2022-09-22 04:00:00+00:00,150.5,152.57,149.05,150.86,92021722.0,686881.0,150.7
AAPL,2022-09-23 04:00:00+00:00,149.33,149.61,146.73,148.58,101813197.0,764986.0,148.2
AAPL,2022-09-26 04:00:00+00:00,147.82,151.88,147.8,148.91,100616414.0,747669.0,149.59
AAPL,2022-09-27 04:00:00+00:00,150.86,152.82,148.1,149.89,91032702.0,683779.0,150.24
AAPL,2022-09-28 04:00:00+00:00,145.82,148.79,143.06,148.0,155823686.0,1142720.0,145.89
AAPL,2022-09-29 04:00:00+00:00,144.3,144.91,138.95,140.73,137415955.0,1067283.0,141.14
AAPL,2022-09-30 04:00:00+00:00,139.54,141.34,136.3,136.5,141390692.0,941473.0,138.42
AAPL,2022-10-03 04:00:00+00:00,136.51,141.31,135.99,140.7,124534891.0,838788.0,139.54
AAPL,2022-10-04 04:00:00+00:00,143.24,144.42,142.48,144.3,96785630.0,687507.0,143.75
AAPL,2022-10-05 04:00:00+00:00,142.3,145.57,141.25,144.6,83933253.0,605865.0,143.51
AAPL,2022-10-06 04:00:00+00:00,144.02,145.72,143.43,143.64,72586982.0,538674.0,144.24
AAPL,2022-10-07 04:00:00+00:00,140.79,141.34,137.73,138.37,95901316.0,664196.0,139.0
AAPL,2022-10-10 04:00:00+00:00,138.69,140.14,136.87,138.69,80719147.0,620865.0,138.49
AAPL,2022-10-11 04:00:00+00:00,138.18,139.61,136.52,137.27,82627051.0,608886.0,137.79
AAPL,2022-10-12 04:00:00+00:00,137.42,138.63,136.46,136.64,76229576.0,553189.0,137.33
