symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2022-09-06,154.54,155.16,151.8,152.63,78705759.0,687438.0,153.09
AAPL,2022-09-07,152.92,154.74,151.72,154.04,94015457.0,696957.0,153.43
AAPL,2022-09-08,152.74,154.44,150.8,152.56,91449721.0,697267.0,152.5
AAPL,2022-09-09,153.56,155.88,152.85,155.43,74228109.0,531339.0,154.78
AAPL,2022-09-12,157.63,162.24,157.34,161.42,112676884.0,801514.0,160.52
AAPL,2022-09-13,157.93,158.56,151.48,151.95,135428401.0,1018113.0,154.05
AAPL,2022-09-14,152.88,155.17,151.72,153.4,95004894.0,716068.0,153.35
AAPL,2022-09-15,152.75,153.33,149.52,150.49,97514431.0,741145.0,151.09
AAPL,2022-09-16,149.35,149.49,146.54,148.85,218997344.0,848159.0,148.54
AAPL,2022-09-19,147.47,152.66,147.26,152.58,87533890.0,671958.0,150.77
AAPL,2022-09-20,151.51,156.13,151.2,154.97,113203270.0,792173.0,154.23
AAPL,2022-09-21,155.4,156.79,151.71,151.83,107498655.0,785026.0,154.25
AAPL,2022-09-22,150.5,152.57,149.05,150.86,92021722.0,686881.0,150.7
AAPL,2022-09-23,149.33,149.61,146.73,148.58,101813197.0,764986.0,148.2
AAPL,2022-09-26,147.82,151.88,147.8,148.91,100616414.0,747669.0,149.59
AAPL,2022-09-27,150.86,152.82,148.1,149.89,91032702.0,683779.0,150.24
AAPL,2022-09-28,145.82,148.79,143.06,148.0,155823686.0,1142720.0,145.89
AAPL,2022-09-29,144.3,144.91,138.95,140.73,137415955.0,1067283.0,141.14
AAPL,2022-09-30,139.54,141.34,136.3,136.5,141390692.0,941473.0,138.42
AAPL,2022-10-03,136.51,141.31,135.99,140.7,124534891.0,838788.0,139.54
AAPL,2022-10-04,143.24,144.42,142.48,144.3,96785630.0,687507.0,143.75
AAPL,2022-10-05,142.3,145.57,141.25,144.6,83933253.0,605865.0,143.51
AAPL,2022-10-06,144.02,145.72,143.43,143.64,72586982.0,538674.0,144.24
AAPL,2022-10-07,140.79,141.34,137.73,138.37,95901316.0,664196.0,139.0
AAPL,2022-10-10,138.69,140.14,136.87,138.69,80719147.0,620865.0,138.49
AAPL,2022-10-11,138.18,139.61,136.52,137.27,82627051.0,608886.0,137.79
AAPL,2022-10-12,137.42,138.63,136.46,136.64,76229576.0,553189.0,137.33
AAPL,2022-10-13,133.33,141.82,132.72,141.23,121491577.0,874141.0,138.2
AAPL,2022-10-14,142.53,142.74,136.49,136.68,97254054.0,686282.0,138.11
AAPL,2022-10-17,139.33,141.14,138.54,140.66,94281241.0,634586.0,140.23
AAPL,2022-10-18,143.7,144.89,138.88,141.98,103909236.0,785419.0,142.29
AAPL,2022-10-19,139.95,143.17,139.76,142.09,66281889.0,511351.0,141.69
AAPL,2022-10-20,141.26,144.09,140.89,141.63,70436249.0,517762.0,142.36
AAPL,2022-10-21,141.11,146.03,140.89,145.46,97497286.0,619853.0,143.71
AAPL,2022-10-24,145.37,148.38,144.2,147.61,82543225.0,653022.0,146.62
AAPL,2022-10-25,148.24,150.61,147.52,150.46,82217447.0,581424.0,149.64
AAPL,2022-10-26,149.1,150.12,146.22,147.51,96231685.0,694798.0,148.16
AAPL,2022-10-27,146.25,147.21,142.36,143.02,116248070.0,944056.0,143.51
AAPL,2022-10-28,146.38,155.56,146.0,153.82,174641131.0,1225718.0,152.71
AAPL,2022-10-31,151.27,152.34,150.05,151.45,110376310.0,726847.0,151.4
AAPL,2022-11-01,153.17,153.54,147.29,148.8,85451780.0,650597.0,149.14
AAPL,2022-11-02,147.11,150.3,143.22,143.24,101743648.0,788402.0,146.16
